,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
2,2017,451965.0,9,1,1,1,1,4973.0,1,12,95,2050,0,,Florida,FL,968.0,2.7,3.989807692307693,23712.650623701342,138.80575974849566,4.2,360
3,2017,451965.0,9,1,1,1,1,81.0,3,17,197,36,0,7.0,Illinois,IL,815.5,1.4,3.989807692307693,386.2305852643894,128.74352842146314,5.0,360
4,2017,451965.0,9,1,1,1,1,5000.0,1,49,35,1307,0,,Utah,UT,163.3,2.7,3.989807692307693,23841.394152122804,218.89573819852612,3.2,360
6,2017,451965.0,9,1,1,1,1,2000.0,1,41,5,1541,0,,Oregon,OR,236.8,2.9,3.989807692307693,9536.557660849121,74.26261643750128,4.1,360
7,2017,451965.0,9,1,1,1,1,980.0,2,34,29,307,0,,New Jersey,NJ,600.2,1.6,3.989807692307693,4672.91325381607,182.6545897257096,4.6,360
8,2017,451965.0,9,1,1,1,1,3500.0,1,8,5,1265,0,,Colorado,CO,335.0,2.1,3.989807692307693,16688.975906485965,158.314395950855,2.8,360
9,2017,451965.0,9,1,1,1,1,1428.0,1,6,59,662,0,,California,CA,,2.6,3.989807692307693,6809.102169846273,123.42783389449437,4.8,360
10,2017,451965.0,9,1,1,1,1,2411.0,1,36,47,934,0,,New York,NY,,1.3,3.989807692307693,11496.320260153616,147.70432882424348,4.7,360
11,2017,451965.0,9,1,1,1,1,488.0,3,53,33,144,0,4.0,Washington,WA,491.7,3.1,3.989807692307693,2326.9200692471854,193.9100057705988,4.8,360
13,2017,451965.0,9,1,1,1,2,109.0,3,34,17,186,0,7.0,New Jersey,NJ,600.2,1.6,3.989807692307693,519.7423925162772,33.53176725911466,4.6,360
18,2017,451965.0,9,1,1,1,2,113.0,3,34,7,174,0,7.0,New Jersey,NJ,600.2,1.6,3.989807692307693,538.8155078379754,37.15969019572244,4.6,360
20,2017,451965.0,9,1,1,1,1,8.0,3,17,31,36,0,7.0,Illinois,IL,815.5,1.4,3.989807692307693,38.146230643396486,12.715410214465495,5.0,360
21,2017,451965.0,9,1,1,1,1,236.0,3,24,35,101,0,7.0,Maryland,MD,391.4,1.6,3.989807692307693,1125.3138039801963,133.70064997784513,4.1,360
22,2017,451965.0,9,1,1,1,2,2100.0,1,45,13,2049,0,,South Carolina,SC,217.8,2.1,3.989807692307693,10013.385543891578,58.64354637711027,4.3,360
23,2017,451965.0,9,1,1,1,1,1400.0,1,24,31,502,0,,Maryland,MD,391.4,1.6,3.989807692307693,6675.590362594385,159.57586524130002,4.1,360
26,2017,451965.0,9,1,1,1,1,463.0,1,6,37,134,0,,California,CA,,2.6,3.989807692307693,2207.7130984865717,197.70565061073776,4.8,360
28,2017,451965.0,9,1,1,1,1,525.0,3,48,157,163,0,7.0,Texas,TX,,1.1,3.989807692307693,2503.3463859728945,184.2954394581272,4.3,360
